Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Loss per 1000 Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),cluster_id,risk_profile
Brazil,2017,Malware,Banking,99.22,660182,0.150292,Insider,Weak Passwords,AI-based Detection,21,3,Critical High-Impact Incidents
Brazil,2017,DDoS,Retail,81.63,140371,0.58153,Hacker Group,Zero-day,Encryption,13,1,Concentrated High-Loss Incidents
Brazil,2017,Malware,Telecommunications,6.09,436100,0.013965,Unknown,Zero-day,Encryption,12,2,Lower-Impact Incidents
Brazil,2017,Malware,IT,9.59,912731,0.010507,Nation-state,Zero-day,Firewall,4,0,Widespread Lower-Loss Incidents
Brazil,2017,DDoS,Education,41.63,249211,0.167047,Insider,Zero-day,AI-based Detection,59,2,Lower-Impact Incidents
Brazil,2017,Phishing,Government,87.27,767721,0.113674,Unknown,Weak Passwords,Encryption,9,3,Critical High-Impact Incidents
Brazil,2017,Man-in-the-Middle,Government,14.54,491794,0.029565,Nation-state,Zero-day,Encryption,4,2,Lower-Impact Incidents
Brazil,2017,Man-in-the-Middle,IT,56.83,171305,0.331747,Unknown,Unpatched Software,Firewall,54,1,Concentrated High-Loss Incidents
Brazil,2017,DDoS,Government,18.69,131940,0.141655,Nation-state,Weak Passwords,Antivirus,34,2,Lower-Impact Incidents
Brazil,2017,Man-in-the-Middle,Government,68.03,403770,0.168487,Hacker Group,Weak Passwords,Encryption,22,1,Concentrated High-Loss Incidents
Brazil,2017,DDoS,IT,5.88,231114,0.025442,Insider,Weak Passwords,AI-based Detection,37,2,Lower-Impact Incidents
Brazil,2017,SQL Injection,Banking,66.78,698892,0.095551,Unknown,Zero-day,AI-based Detection,24,3,Critical High-Impact Incidents
Brazil,2017,SQL Injection,Telecommunications,4.35,809757,0.005372,Nation-state,Social Engineering,VPN,61,0,Widespread Lower-Loss Incidents
Brazil,2017,Phishing,Banking,9.25,437974,0.02112,Hacker Group,Zero-day,Encryption,20,2,Lower-Impact Incidents
Brazil,2017,SQL Injection,Government,40.66,651335,0.062426,Insider,Weak Passwords,Encryption,21,0,Widespread Lower-Loss Incidents
Brazil,2017,DDoS,Telecommunications,34.79,724790,0.048,Hacker Group,Unpatched Software,Firewall,64,0,Widespread Lower-Loss Incidents
Brazil,2017,SQL Injection,Telecommunications,24.05,446378,0.053878,Insider,Unpatched Software,Antivirus,59,2,Lower-Impact Incidents
Brazil,2017,SQL Injection,IT,32.97,734737,0.044873,Nation-state,Weak Passwords,AI-based Detection,30,0,Widespread Lower-Loss Incidents
Brazil,2017,Ransomware,IT,9.43,493087,0.019124,Hacker Group,Unpatched Software,Encryption,44,2,Lower-Impact Incidents
Brazil,2017,Phishing,Healthcare,68.99,526227,0.131103,Hacker Group,Weak Passwords,VPN,62,3,Critical High-Impact Incidents
Brazil,2017,Man-in-the-Middle,Retail,17.99,506551,0.035515,Unknown,Unpatched Software,Antivirus,53,0,Widespread Lower-Loss Incidents
Brazil,2017,DDoS,Government,58.67,12372,4.74216,Nation-state,Social Engineering,Encryption,29,1,Concentrated High-Loss Incidents
Brazil,2017,Man-in-the-Middle,Education,67.55,287646,0.234837,Nation-state,Social Engineering,VPN,68,1,Concentrated High-Loss Incidents
Brazil,2017,Phishing,Retail,3.18,520654,0.006108,Nation-state,Social Engineering,VPN,53,0,Widespread Lower-Loss Incidents
Brazil,2017,DDoS,IT,72.48,860625,0.084218,Unknown,Zero-day,Firewall,4,3,Critical High-Impact Incidents
Brazil,2017,Man-in-the-Middle,IT,71.06,871891,0.081501,Unknown,Social Engineering,Antivirus,52,3,Critical High-Impact Incidents
Brazil,2017,Man-in-the-Middle,Healthcare,96.36,596078,0.161657,Hacker Group,Weak Passwords,Encryption,10,3,Critical High-Impact Incidents
Brazil,2017,Ransomware,Healthcare,32.9,433987,0.075809,Unknown,Zero-day,AI-based Detection,21,2,Lower-Impact Incidents
Brazil,2017,Man-in-the-Middle,Telecommunications,43.71,57237,0.763667,Unknown,Unpatched Software,Firewall,52,2,Lower-Impact Incidents
Brazil,2017,DDoS,Healthcare,62.74,460264,0.136313,Unknown,Social Engineering,Firewall,9,1,Concentrated High-Loss Incidents
Brazil,2017,Ransomware,Government,58.18,824704,0.070547,Hacker Group,Zero-day,Antivirus,30,3,Critical High-Impact Incidents
Brazil,2017,Ransomware,Education,80.5,279808,0.287697,Insider,Social Engineering,Antivirus,60,1,Concentrated High-Loss Incidents
Brazil,2017,Phishing,IT,26.62,955790,0.027851,Nation-state,Zero-day,Encryption,44,0,Widespread Lower-Loss Incidents
Brazil,2017,Ransomware,Healthcare,54.78,469735,0.116619,Nation-state,Zero-day,Encryption,57,1,Concentrated High-Loss Incidents
China,2017,SQL Injection,Retail,61.83,129677,0.4768,Hacker Group,Unpatched Software,Firewall,60,1,Concentrated High-Loss Incidents
China,2017,Man-in-the-Middle,Government,49.37,613786,0.080435,Nation-state,Unpatched Software,Antivirus,24,3,Critical High-Impact Incidents
China,2017,Malware,IT,86.98,510454,0.170397,Nation-state,Zero-day,VPN,18,3,Critical High-Impact Incidents
China,2017,Malware,IT,18.17,346390,0.052455,Hacker Group,Weak Passwords,Firewall,36,2,Lower-Impact Incidents
China,2017,Phishing,IT,71.4,698847,0.102168,Insider,Zero-day,AI-based Detection,17,3,Critical High-Impact Incidents
China,2017,Phishing,Government,38.87,168075,0.231266,Insider,Social Engineering,AI-based Detection,52,2,Lower-Impact Incidents
China,2017,Phishing,Healthcare,70.4,651809,0.108007,Unknown,Unpatched Software,Firewall,17,3,Critical High-Impact Incidents
China,2017,Phishing,Banking,38.69,240400,0.16094,Unknown,Weak Passwords,Encryption,10,2,Lower-Impact Incidents
China,2017,SQL Injection,Banking,29.39,206897,0.142051,Unknown,Zero-day,Encryption,18,2,Lower-Impact Incidents
China,2017,DDoS,Education,56.73,244753,0.231785,Insider,Zero-day,VPN,45,1,Concentrated High-Loss Incidents
China,2017,Phishing,Retail,45.83,395251,0.115952,Unknown,Unpatched Software,Encryption,33,2,Lower-Impact Incidents
China,2017,Phishing,Education,16.82,848597,0.019821,Hacker Group,Weak Passwords,AI-based Detection,11,0,Widespread Lower-Loss Incidents
China,2017,DDoS,Government,57.34,171772,0.333815,Nation-state,Social Engineering,Firewall,8,1,Concentrated High-Loss Incidents
China,2017,DDoS,Healthcare,96.49,644339,0.14975,Insider,Unpatched Software,Antivirus,71,3,Critical High-Impact Incidents
China,2017,Phishing,Healthcare,92.64,911233,0.101664,Hacker Group,Weak Passwords,AI-based Detection,18,3,Critical High-Impact Incidents
China,2017,Man-in-the-Middle,Banking,47.52,83617,0.568305,Insider,Unpatched Software,AI-based Detection,64,2,Lower-Impact Incidents
China,2017,Ransomware,Education,25.73,639190,0.040254,Insider,Social Engineering,Encryption,33,0,Widespread Lower-Loss Incidents
China,2017,Malware,Education,47.46,783239,0.060595,Unknown,Social Engineering,VPN,41,0,Widespread Lower-Loss Incidents
China,2017,Man-in-the-Middle,Retail,30.38,29840,1.018097,Hacker Group,Weak Passwords,AI-based Detection,63,2,Lower-Impact Incidents
China,2017,Ransomware,Education,64.93,159061,0.408208,Insider,Weak Passwords,Firewall,12,1,Concentrated High-Loss Incidents
China,2017,DDoS,Retail,19.36,4814,4.021604,Unknown,Social Engineering,AI-based Detection,42,2,Lower-Impact Incidents
China,2017,Man-in-the-Middle,Banking,62.39,855974,0.072888,Unknown,Social Engineering,VPN,44,3,Critical High-Impact Incidents
China,2017,DDoS,IT,17.49,394109,0.044379,Unknown,Unpatched Software,AI-based Detection,37,2,Lower-Impact Incidents
France,2017,Man-in-the-Middle,Education,14.99,942088,0.015911,Insider,Zero-day,AI-based Detection,46,0,Widespread Lower-Loss Incidents
France,2017,Malware,Telecommunications,96.63,389525,0.248071,Unknown,Zero-day,Antivirus,32,1,Concentrated High-Loss Incidents
France,2017,DDoS,Retail,67.36,856228,0.078671,Hacker Group,Zero-day,Encryption,47,3,Critical High-Impact Incidents
France,2017,DDoS,Healthcare,5.07,65117,0.07786,Unknown,Social Engineering,Firewall,3,2,Lower-Impact Incidents
France,2017,DDoS,Healthcare,6.72,782873,0.008584,Hacker Group,Zero-day,Encryption,4,0,Widespread Lower-Loss Incidents
France,2017,SQL Injection,IT,44.56,698908,0.063757,Nation-state,Zero-day,Antivirus,32,0,Widespread Lower-Loss Incidents
France,2017,Phishing,Banking,17.88,16585,1.078083,Hacker Group,Unpatched Software,Encryption,12,2,Lower-Impact Incidents
France,2017,Phishing,IT,55.9,309259,0.180755,Insider,Zero-day,AI-based Detection,3,1,Concentrated High-Loss Incidents
France,2017,SQL Injection,Education,81.06,349070,0.232217,Unknown,Zero-day,VPN,41,1,Concentrated High-Loss Incidents
France,2017,SQL Injection,Healthcare,60.77,212177,0.286412,Hacker Group,Social Engineering,Encryption,2,1,Concentrated High-Loss Incidents
France,2017,SQL Injection,Healthcare,96.08,592364,0.162198,Insider,Weak Passwords,Antivirus,21,3,Critical High-Impact Incidents
France,2017,Ransomware,Healthcare,88.79,332214,0.267267,Nation-state,Social Engineering,Antivirus,16,1,Concentrated High-Loss Incidents
France,2017,Ransomware,Telecommunications,66.36,180698,0.367243,Hacker Group,Zero-day,Encryption,53,1,Concentrated High-Loss Incidents
France,2017,SQL Injection,Healthcare,83.73,728486,0.114937,Nation-state,Social Engineering,Encryption,61,3,Critical High-Impact Incidents
France,2017,DDoS,Healthcare,39.49,195459,0.202037,Hacker Group,Weak Passwords,Encryption,14,2,Lower-Impact Incidents
France,2017,Ransomware,IT,93.15,372975,0.249749,Hacker Group,Weak Passwords,Firewall,64,1,Concentrated High-Loss Incidents
France,2017,SQL Injection,Government,36.09,696801,0.051794,Insider,Zero-day,VPN,32,0,Widespread Lower-Loss Incidents
France,2017,SQL Injection,Healthcare,42.8,683189,0.062647,Unknown,Zero-day,VPN,19,0,Widespread Lower-Loss Incidents
France,2017,DDoS,Telecommunications,13.31,381948,0.034848,Unknown,Weak Passwords,AI-based Detection,46,2,Lower-Impact Incidents
France,2017,Man-in-the-Middle,Healthcare,34.43,927694,0.037114,Insider,Social Engineering,VPN,43,0,Widespread Lower-Loss Incidents
France,2017,DDoS,IT,20.44,618269,0.03306,Nation-state,Weak Passwords,VPN,48,0,Widespread Lower-Loss Incidents
France,2017,Phishing,Banking,15.14,276541,0.054748,Hacker Group,Social Engineering,AI-based Detection,16,2,Lower-Impact Incidents
France,2017,Ransomware,IT,27.19,760590,0.035749,Nation-state,Weak Passwords,Encryption,9,0,Widespread Lower-Loss Incidents
France,2017,Malware,Education,3.21,342049,0.009385,Nation-state,Unpatched Software,AI-based Detection,31,2,Lower-Impact Incidents
France,2017,SQL Injection,Healthcare,27.42,94235,0.290975,Insider,Social Engineering,Antivirus,29,2,Lower-Impact Incidents
France,2017,Phishing,Government,59.64,551515,0.108138,Unknown,Zero-day,AI-based Detection,37,3,Critical High-Impact Incidents
France,2017,Ransomware,Education,19.84,832471,0.023833,Insider,Social Engineering,Firewall,54,0,Widespread Lower-Loss Incidents
France,2017,Malware,Healthcare,41.37,783899,0.052775,Hacker Group,Social Engineering,AI-based Detection,29,0,Widespread Lower-Loss Incidents
France,2017,DDoS,Government,86.82,99728,0.870568,Nation-state,Unpatched Software,VPN,44,1,Concentrated High-Loss Incidents
France,2017,Man-in-the-Middle,Education,76.35,517640,0.147496,Hacker Group,Unpatched Software,Firewall,4,3,Critical High-Impact Incidents
France,2017,Ransomware,Retail,48.93,886212,0.055213,Unknown,Weak Passwords,Encryption,67,0,Widespread Lower-Loss Incidents
France,2017,SQL Injection,Education,14.54,171095,0.084982,Hacker Group,Zero-day,AI-based Detection,63,2,Lower-Impact Incidents
France,2017,SQL Injection,Healthcare,18.75,436009,0.043004,Nation-state,Social Engineering,AI-based Detection,44,2,Lower-Impact Incidents
France,2017,Man-in-the-Middle,Education,49.94,640572,0.077962,Hacker Group,Social Engineering,Firewall,51,3,Critical High-Impact Incidents
France,2017,Phishing,Retail,43.2,377252,0.114512,Nation-state,Unpatched Software,Encryption,8,2,Lower-Impact Incidents
France,2017,Phishing,Healthcare,4.87,388325,0.012541,Nation-state,Social Engineering,AI-based Detection,39,2,Lower-Impact Incidents
France,2017,Phishing,Banking,77.41,654122,0.118342,Nation-state,Social Engineering,AI-based Detection,68,3,Critical High-Impact Incidents
France,2017,Malware,Banking,40.87,719537,0.0568,Nation-state,Zero-day,AI-based Detection,23,0,Widespread Lower-Loss Incidents
France,2017,DDoS,Telecommunications,79.93,305905,0.26129,Unknown,Unpatched Software,Encryption,44,1,Concentrated High-Loss Incidents
France,2017,Phishing,Retail,90.69,275185,0.32956,Nation-state,Zero-day,Encryption,20,1,Concentrated High-Loss Incidents
Germany,2017,Ransomware,Education,10.32,195872,0.052687,Hacker Group,Social Engineering,Antivirus,22,2,Lower-Impact Incidents
Germany,2017,Phishing,Banking,10.56,556014,0.018992,Nation-state,Unpatched Software,Encryption,11,0,Widespread Lower-Loss Incidents
Germany,2017,Phishing,Healthcare,53.57,287762,0.186161,Insider,Weak Passwords,Encryption,13,1,Concentrated High-Loss Incidents
Germany,2017,Malware,Government,67.79,239402,0.283164,Hacker Group,Zero-day,VPN,17,1,Concentrated High-Loss Incidents
Germany,2017,Ransomware,IT,33.24,550719,0.060357,Hacker Group,Zero-day,AI-based Detection,60,0,Widespread Lower-Loss Incidents
Germany,2017,Malware,Government,63.97,590555,0.108322,Nation-state,Social Engineering,AI-based Detection,27,3,Critical High-Impact Incidents
Germany,2017,Malware,Healthcare,6.58,592988,0.011096,Hacker Group,Unpatched Software,VPN,43,0,Widespread Lower-Loss Incidents
Germany,2017,SQL Injection,Healthcare,12.56,135042,0.093008,Nation-state,Weak Passwords,Antivirus,13,2,Lower-Impact Incidents
Germany,2017,Phishing,Retail,93.6,908249,0.103055,Nation-state,Zero-day,AI-based Detection,53,3,Critical High-Impact Incidents
Germany,2017,SQL Injection,IT,33.79,772541,0.043739,Nation-state,Unpatched Software,Antivirus,46,0,Widespread Lower-Loss Incidents
Germany,2017,Ransomware,Retail,68.73,509742,0.134833,Nation-state,Zero-day,Antivirus,43,3,Critical High-Impact Incidents
Germany,2017,Ransomware,Government,80.7,107009,0.754142,Nation-state,Social Engineering,Encryption,67,1,Concentrated High-Loss Incidents
Germany,2017,DDoS,Education,98.61,992029,0.099402,Nation-state,Unpatched Software,VPN,26,3,Critical High-Impact Incidents
Germany,2017,DDoS,Telecommunications,15.01,406483,0.036927,Insider,Weak Passwords,Antivirus,62,2,Lower-Impact Incidents
Germany,2017,Malware,Healthcare,49.09,397361,0.12354,Hacker Group,Weak Passwords,Encryption,57,2,Lower-Impact Incidents
Germany,2017,SQL Injection,Retail,88.18,3200,27.55625,Insider,Weak Passwords,AI-based Detection,43,1,Concentrated High-Loss Incidents
Germany,2017,DDoS,Telecommunications,40.05,27446,1.459229,Insider,Social Engineering,AI-based Detection,13,2,Lower-Impact Incidents
Germany,2017,Man-in-the-Middle,Healthcare,97.14,875912,0.110902,Insider,Unpatched Software,Firewall,33,3,Critical High-Impact Incidents
Germany,2017,Malware,Healthcare,8.53,676384,0.012611,Unknown,Social Engineering,VPN,44,0,Widespread Lower-Loss Incidents
Germany,2017,Malware,Banking,97.68,906914,0.107706,Hacker Group,Zero-day,AI-based Detection,15,3,Critical High-Impact Incidents
Germany,2017,Man-in-the-Middle,Banking,88.03,587213,0.149912,Unknown,Weak Passwords,AI-based Detection,32,3,Critical High-Impact Incidents
Germany,2017,Ransomware,Healthcare,32.0,175755,0.182072,Insider,Weak Passwords,Firewall,30,2,Lower-Impact Incidents
Germany,2017,Ransomware,Education,76.96,950276,0.080987,Hacker Group,Unpatched Software,Firewall,31,3,Critical High-Impact Incidents
Germany,2017,Malware,Healthcare,1.68,859708,0.001954,Nation-state,Weak Passwords,Encryption,10,0,Widespread Lower-Loss Incidents
Germany,2017,Ransomware,Retail,91.67,80135,1.143945,Hacker Group,Social Engineering,AI-based Detection,35,1,Concentrated High-Loss Incidents
Germany,2017,DDoS,Healthcare,72.05,263506,0.273428,Insider,Zero-day,Encryption,49,1,Concentrated High-Loss Incidents
Germany,2017,SQL Injection,Education,54.98,786577,0.069898,Insider,Unpatched Software,Firewall,70,3,Critical High-Impact Incidents
Germany,2017,Man-in-the-Middle,Retail,98.24,285201,0.344459,Unknown,Social Engineering,Antivirus,25,1,Concentrated High-Loss Incidents
Germany,2017,Man-in-the-Middle,Retail,73.98,609952,0.121288,Hacker Group,Unpatched Software,VPN,7,3,Critical High-Impact Incidents
Germany,2017,Malware,Telecommunications,94.87,324790,0.292096,Insider,Zero-day,VPN,42,1,Concentrated High-Loss Incidents
Germany,2017,Man-in-the-Middle,Government,56.15,487668,0.11514,Hacker Group,Unpatched Software,AI-based Detection,72,1,Concentrated High-Loss Incidents
Germany,2017,Phishing,Banking,69.85,253058,0.276024,Hacker Group,Social Engineering,Encryption,44,1,Concentrated High-Loss Incidents
Germany,2017,DDoS,Telecommunications,84.38,724629,0.116446,Insider,Unpatched Software,AI-based Detection,18,3,Critical High-Impact Incidents
Germany,2017,Ransomware,Telecommunications,49.56,119598,0.414388,Insider,Unpatched Software,Encryption,43,2,Lower-Impact Incidents
India,2017,DDoS,IT,70.09,417831,0.167747,Unknown,Unpatched Software,Encryption,36,1,Concentrated High-Loss Incidents
India,2017,Ransomware,Retail,80.93,837506,0.096632,Nation-state,Zero-day,Antivirus,8,3,Critical High-Impact Incidents
India,2017,Ransomware,Retail,69.91,340928,0.205058,Unknown,Social Engineering,Antivirus,61,1,Concentrated High-Loss Incidents
India,2017,Ransomware,Government,89.47,201732,0.443509,Unknown,Zero-day,Antivirus,39,1,Concentrated High-Loss Incidents
India,2017,Phishing,IT,53.95,920801,0.05859,Nation-state,Zero-day,Antivirus,52,3,Critical High-Impact Incidents
India,2017,Malware,Healthcare,66.29,430200,0.154091,Unknown,Zero-day,Antivirus,48,1,Concentrated High-Loss Incidents
India,2017,Ransomware,Banking,9.81,489620,0.020036,Unknown,Unpatched Software,VPN,43,2,Lower-Impact Incidents
India,2017,Phishing,Retail,97.87,113745,0.860433,Unknown,Unpatched Software,Encryption,2,1,Concentrated High-Loss Incidents
India,2017,Ransomware,Education,98.11,677198,0.144876,Unknown,Social Engineering,VPN,28,3,Critical High-Impact Incidents
India,2017,DDoS,Retail,82.17,593329,0.13849,Hacker Group,Unpatched Software,AI-based Detection,62,3,Critical High-Impact Incidents
India,2017,DDoS,Banking,45.98,538245,0.085426,Hacker Group,Weak Passwords,AI-based Detection,18,0,Widespread Lower-Loss Incidents
India,2017,Man-in-the-Middle,IT,68.68,725608,0.094652,Insider,Zero-day,AI-based Detection,15,3,Critical High-Impact Incidents
India,2017,SQL Injection,Government,20.21,421023,0.048002,Insider,Unpatched Software,Encryption,72,2,Lower-Impact Incidents
India,2017,Malware,Telecommunications,7.44,552358,0.01347,Nation-state,Weak Passwords,AI-based Detection,42,0,Widespread Lower-Loss Incidents
India,2017,DDoS,Government,75.52,352250,0.214393,Insider,Zero-day,VPN,39,1,Concentrated High-Loss Incidents
India,2017,SQL Injection,IT,78.94,858565,0.091944,Unknown,Weak Passwords,Encryption,29,3,Critical High-Impact Incidents
India,2017,Malware,IT,22.04,210495,0.104706,Insider,Weak Passwords,Firewall,18,2,Lower-Impact Incidents
India,2017,Man-in-the-Middle,Healthcare,91.4,621971,0.146952,Nation-state,Weak Passwords,AI-based Detection,49,3,Critical High-Impact Incidents
India,2017,DDoS,Education,83.49,79933,1.0445,Hacker Group,Zero-day,AI-based Detection,23,1,Concentrated High-Loss Incidents
India,2017,Ransomware,Government,38.87,968822,0.040121,Nation-state,Weak Passwords,Antivirus,25,0,Widespread Lower-Loss Incidents
India,2017,Phishing,IT,93.62,899005,0.104137,Insider,Weak Passwords,AI-based Detection,61,3,Critical High-Impact Incidents
India,2017,Man-in-the-Middle,IT,38.65,605895,0.06379,Hacker Group,Weak Passwords,VPN,20,0,Widespread Lower-Loss Incidents
India,2017,Man-in-the-Middle,Government,69.69,713419,0.097685,Hacker Group,Unpatched Software,AI-based Detection,70,3,Critical High-Impact Incidents
India,2017,Man-in-the-Middle,Telecommunications,32.4,437554,0.074048,Insider,Weak Passwords,Firewall,19,2,Lower-Impact Incidents
India,2017,SQL Injection,Government,40.98,402855,0.101724,Insider,Social Engineering,AI-based Detection,26,2,Lower-Impact Incidents
India,2017,Malware,Government,61.02,650042,0.093871,Nation-state,Unpatched Software,Antivirus,48,3,Critical High-Impact Incidents
India,2017,Phishing,Retail,36.78,620056,0.059317,Nation-state,Weak Passwords,Firewall,14,0,Widespread Lower-Loss Incidents
India,2017,DDoS,Government,76.71,246205,0.31157,Nation-state,Unpatched Software,Firewall,30,1,Concentrated High-Loss Incidents
Japan,2017,Man-in-the-Middle,Banking,79.68,712646,0.111809,Nation-state,Unpatched Software,AI-based Detection,50,3,Critical High-Impact Incidents
Japan,2017,Malware,Retail,74.01,750473,0.098618,Unknown,Zero-day,Antivirus,41,3,Critical High-Impact Incidents
Japan,2017,SQL Injection,Government,35.88,221051,0.162315,Insider,Zero-day,Encryption,18,2,Lower-Impact Incidents
Japan,2017,Malware,Education,26.24,945147,0.027763,Insider,Zero-day,AI-based Detection,20,0,Widespread Lower-Loss Incidents
Japan,2017,Malware,Banking,9.76,122728,0.079525,Unknown,Zero-day,AI-based Detection,7,2,Lower-Impact Incidents
Japan,2017,SQL Injection,IT,33.15,44750,0.740782,Unknown,Unpatched Software,Firewall,22,2,Lower-Impact Incidents
Japan,2017,DDoS,Telecommunications,73.27,368351,0.198914,Nation-state,Zero-day,Antivirus,48,1,Concentrated High-Loss Incidents
Japan,2017,Phishing,Healthcare,47.39,470895,0.100638,Nation-state,Social Engineering,Encryption,63,2,Lower-Impact Incidents
Japan,2017,Ransomware,Retail,49.75,163062,0.305099,Unknown,Unpatched Software,AI-based Detection,43,2,Lower-Impact Incidents
Japan,2017,SQL Injection,Healthcare,7.31,191328,0.038207,Insider,Weak Passwords,Encryption,51,2,Lower-Impact Incidents
Japan,2017,Phishing,Government,89.97,141115,0.637565,Hacker Group,Zero-day,AI-based Detection,9,1,Concentrated High-Loss Incidents
Japan,2017,DDoS,Healthcare,90.38,316136,0.28589,Hacker Group,Zero-day,VPN,22,1,Concentrated High-Loss Incidents
Japan,2017,Ransomware,Telecommunications,49.72,578125,0.086002,Insider,Social Engineering,Firewall,71,3,Critical High-Impact Incidents
Japan,2017,Ransomware,Banking,50.75,53111,0.955546,Hacker Group,Social Engineering,Antivirus,15,1,Concentrated High-Loss Incidents
Japan,2017,Phishing,IT,49.12,845169,0.058119,Nation-state,Social Engineering,VPN,1,0,Widespread Lower-Loss Incidents
Japan,2017,Man-in-the-Middle,Retail,74.12,559889,0.132383,Nation-state,Zero-day,VPN,10,3,Critical High-Impact Incidents
Japan,2017,DDoS,Education,7.84,165722,0.047308,Unknown,Unpatched Software,Encryption,23,2,Lower-Impact Incidents
Japan,2017,SQL Injection,Healthcare,54.26,839368,0.064644,Insider,Unpatched Software,Antivirus,40,3,Critical High-Impact Incidents
Japan,2017,DDoS,Healthcare,5.5,751586,0.007318,Nation-state,Social Engineering,AI-based Detection,24,0,Widespread Lower-Loss Incidents
Japan,2017,SQL Injection,Education,36.37,161579,0.225091,Nation-state,Zero-day,Firewall,15,2,Lower-Impact Incidents
Japan,2017,Phishing,IT,65.62,286208,0.229274,Hacker Group,Zero-day,Firewall,57,1,Concentrated High-Loss Incidents
Japan,2017,Man-in-the-Middle,Telecommunications,21.8,610106,0.035731,Unknown,Social Engineering,Encryption,39,0,Widespread Lower-Loss Incidents
Japan,2017,Phishing,IT,6.49,195044,0.033275,Unknown,Unpatched Software,AI-based Detection,20,2,Lower-Impact Incidents
Japan,2017,Man-in-the-Middle,Healthcare,16.71,393738,0.042439,Nation-state,Zero-day,Antivirus,69,2,Lower-Impact Incidents
Japan,2017,SQL Injection,Banking,66.81,966993,0.06909,Hacker Group,Social Engineering,VPN,64,3,Critical High-Impact Incidents
Japan,2017,SQL Injection,Education,11.49,364107,0.031557,Hacker Group,Social Engineering,AI-based Detection,28,2,Lower-Impact Incidents
Japan,2017,SQL Injection,Banking,18.01,295917,0.060862,Unknown,Weak Passwords,VPN,57,2,Lower-Impact Incidents
Japan,2017,Ransomware,Government,9.24,126143,0.07325,Unknown,Weak Passwords,Antivirus,35,2,Lower-Impact Incidents
Japan,2017,Phishing,IT,5.14,319868,0.016069,Hacker Group,Unpatched Software,VPN,52,2,Lower-Impact Incidents
Japan,2017,SQL Injection,Healthcare,21.66,277555,0.078039,Unknown,Social Engineering,AI-based Detection,45,2,Lower-Impact Incidents
Japan,2017,Ransomware,Retail,59.13,747705,0.079082,Insider,Unpatched Software,VPN,47,3,Critical High-Impact Incidents
Japan,2017,Phishing,Education,88.43,954423,0.092653,Unknown,Unpatched Software,Firewall,6,3,Critical High-Impact Incidents
Japan,2017,DDoS,Healthcare,54.41,344772,0.157814,Hacker Group,Unpatched Software,AI-based Detection,5,1,Concentrated High-Loss Incidents
Japan,2017,DDoS,IT,27.76,824968,0.03365,Insider,Weak Passwords,Encryption,15,0,Widespread Lower-Loss Incidents
Japan,2017,Man-in-the-Middle,Healthcare,11.3,64472,0.17527,Insider,Social Engineering,Firewall,43,2,Lower-Impact Incidents
Japan,2017,DDoS,IT,86.89,703035,0.123593,Unknown,Unpatched Software,Firewall,15,3,Critical High-Impact Incidents
Japan,2017,Phishing,IT,73.85,402903,0.183295,Insider,Zero-day,Encryption,55,1,Concentrated High-Loss Incidents
Japan,2017,DDoS,IT,31.5,951607,0.033102,Unknown,Zero-day,AI-based Detection,58,0,Widespread Lower-Loss Incidents
Japan,2017,Phishing,Telecommunications,75.84,383395,0.197812,Hacker Group,Zero-day,VPN,31,1,Concentrated High-Loss Incidents
Japan,2017,Phishing,Banking,61.33,762300,0.080454,Nation-state,Social Engineering,VPN,20,3,Critical High-Impact Incidents
Japan,2017,Phishing,Telecommunications,89.85,44385,2.024333,Hacker Group,Weak Passwords,AI-based Detection,18,1,Concentrated High-Loss Incidents
Russia,2017,Phishing,Education,66.25,702883,0.094255,Insider,Unpatched Software,VPN,31,3,Critical High-Impact Incidents
Russia,2017,Man-in-the-Middle,Government,80.95,827534,0.097821,Hacker Group,Unpatched Software,Firewall,29,3,Critical High-Impact Incidents
Russia,2017,Ransomware,Education,88.9,444399,0.200045,Insider,Zero-day,Encryption,38,1,Concentrated High-Loss Incidents
Russia,2017,Man-in-the-Middle,Retail,17.22,242574,0.070989,Nation-state,Social Engineering,Encryption,59,2,Lower-Impact Incidents
Russia,2017,Phishing,IT,53.07,388154,0.136724,Nation-state,Zero-day,AI-based Detection,29,1,Concentrated High-Loss Incidents
Russia,2017,Man-in-the-Middle,IT,14.74,561615,0.026246,Hacker Group,Weak Passwords,Antivirus,29,0,Widespread Lower-Loss Incidents
Russia,2017,Man-in-the-Middle,Banking,66.53,45277,1.469399,Insider,Social Engineering,Firewall,43,1,Concentrated High-Loss Incidents
Russia,2017,Phishing,Telecommunications,2.22,620350,0.003579,Hacker Group,Zero-day,Firewall,45,0,Widespread Lower-Loss Incidents
Russia,2017,Man-in-the-Middle,Education,83.43,313631,0.266013,Nation-state,Weak Passwords,Antivirus,16,1,Concentrated High-Loss Incidents
Russia,2017,Phishing,Banking,94.15,963192,0.097748,Hacker Group,Weak Passwords,VPN,7,3,Critical High-Impact Incidents
Russia,2017,Phishing,Retail,20.58,768022,0.026796,Unknown,Zero-day,VPN,64,0,Widespread Lower-Loss Incidents
Russia,2017,Ransomware,Telecommunications,65.18,329972,0.197532,Nation-state,Unpatched Software,Firewall,48,1,Concentrated High-Loss Incidents
